Enterprise Number,VAT Liable,Authorization Phase,Validity Start,Validity End
10000050001,YES,001,2018-01-27,
10000049704,YES,001,2024-06-21,
10000050296,YES,001,2020-05-21,
10000049902,YES,001,2016-12-15,
10000050395,YES,001,2023-07-04,
10000051385,NO,001,2016-11-01,2024-09-24
10000051484,YES,001,2022-03-11,
10000050989,YES,001,2023-07-25,
10000051682,YES,001,2019-03-14,
10000051880,YES,001,2015-01-26,
10000052177,YES,001,2023-07-11,
10000052276,YES,001,2020-02-18,
10000050593,YES,001,2018-12-31,
10000052474,YES,001,2023-12-14,
10000052969,YES,001,2024-09-18,
10000053167,YES,001,2024-04-08,
10000052771,YES,001,2015-06-03,
10000053365,YES,001,2023-08-10,
10000053563,YES,001,2024-07-21,
10000053662,YES,001,2016-05-26,
10000053860,YES,001,2023-08-11,
10000054256,YES,001,2023-07-27,
10000054850,YES,001,2021-11-06,
10000054157,YES,001,2016-12-23,
10000055444,YES,001,2020-05-04,
10000055642,YES,001,2016-01-26,
10000056533,YES,001,2015-03-19,
10000055246,NO,002,2023-05-15,
10000056731,YES,001,2016-04-07,
10000056830,YES,001,2023-12-17,
10000056929,YES,001,2022-10-18,
10000057127,YES,001,2019-06-16,
10000057226,YES,001,2023-12-22,
10000057424,YES,001,2022-06-20,
10000055939,YES,001,2017-04-18,
10000057028,YES,001,2018-09-19,
10000057721,YES,001,2023-07-05,
10000057523,YES,001,2023-06-23,
10000057919,YES,001,2020-05-23,
10000058018,YES,001,2024-12-26,
10000058612,YES,001,2017-02-22,
10000058414,NO,001,2012-06-18,2023-03-18
10000058810,YES,001,2019-11-02,
10000058216,YES,001,2017-07-22,
10000059008,YES,001,2019-04-16,
10000059305,YES,001,2024-03-01,
10000059206,YES,001,2018-01-14,
10000059701,NO,004,2015-06-01,2024-10-04
10000059897,YES,001,2023-02-10,
10000060095,YES,001,2015-03-17,
10000060392,YES,001,2022-11-09,
10000060194,YES,001,2019-06-12,
10000060491,YES,001,2020-01-10,
10000060689,YES,001,2022-02-27,
10000060590,YES,001,2015-02-04,
10000060788,YES,001,2020-06-17,
10000061283,YES,001,2023-08-06,
10000060986,YES,001,2019-06-22,
10000061382,NO,001,2020-06-05,2024-12-08
10000061481,YES,001,2020-05-15,
10000061877,YES,001,2022-07-12,
10000061976,YES,001,2023-03-13,
10000062174,YES,001,2019-08-11,
10000062372,NO,002,2024-09-20,
10000062570,YES,001,2019-01-19,
10000062669,YES,001,2016-04-26,
10000062768,YES,001,2022-04-01,
10000062867,YES,001,2018-01-21,
10000063560,YES,001,2023-07-24,
10000063362,YES,001,2020-09-23,
10000063857,NO,001,2020-01-02,2024-03-25
10000063956,YES,001,2022-01-13,
10000064649,YES,001,2018-05-22,
10000064946,YES,001,2016-11-27,
10000065045,YES,001,2021-11-21,
10000065441,YES,001,2017-01-02,
10000065540,YES,001,2021-09-09,
10000065738,YES,001,2021-04-21,
10000065837,YES,001,2017-03-05,
10000066035,YES,001,2022-06-24,
10000066332,NO,002,2023-08-20,
10000066233,YES,001,2019-09-26,
10000066629,YES,001,2019-02-22,
10000065936,NO,002,2021-04-21,
10000066431,NO,004,2015-03-01,2024-04-04
10000066926,YES,001,2021-06-26,
10000066728,YES,001,2020-09-25,
10000067520,YES,001,2020-07-19,
10000067718,YES,001,2023-04-25,
10000068015,YES,001,2022-09-08,
10000068312,YES,001,2017-09-17,
10000068411,YES,001,2016-07-24,
10000068708,YES,001,2017-07-25,
10000068906,NO,004,2016-02-17,2024-12-27
10000067817,YES,001,2022-08-22,
10000069104,NO,001,2020-01-08,2021-11-21
10000069203,YES,001,2019-04-27,
10000070587,YES,001,2018-06-21,
10000070785,YES,001,2022-05-03,
10000070884,YES,001,2018-02-10,
10000071181,YES,001,2022-05-27,
10000071676,YES,001,2021-03-21,
10000070686,YES,001,2021-02-17,
10000071973,YES,001,2021-10-24,
10000072369,YES,001,2021-10-26,
10000072468,YES,001,2024-05-06,
10000072567,NO,001,2013-04-05,2021-09-03
10000073062,NO,001,2017-11-11,2023-08-22
10000072171,YES,001,2015-08-08,
10000073260,YES,001,2023-07-20,
10000073557,YES,001,2019-01-03,
10000073854,YES,001,2019-06-18,
10000074052,YES,001,2015-12-06,
10000074349,YES,001,2018-04-07,
10000074250,YES,001,2023-02-05,
10000074448,YES,001,2023-08-03,
10000074646,YES,001,2015-05-11,
10000074745,YES,001,2023-11-17,
10000074844,YES,001,2021-07-07,
10000074943,YES,001,2024-05-22,
10000073161,YES,001,2018-07-27,
10000075537,NO,002,2022-08-12,
10000075042,YES,001,2023-08-18,
10000075933,YES,001,2022-03-26,
10000076230,YES,001,2015-07-11,
10000076131,YES,001,2019-10-21,
10000076032,NO,004,2021-03-20,2023-08-04
10000076428,YES,001,2021-07-13,
10000076527,YES,001,2016-03-26,
10000076626,YES,001,2021-02-11,
10000076725,YES,001,2024-07-17,
10000077418,NO,002,2020-08-08,
10000078210,NO,001,2013-01-01,2023-11-14
10000078111,NO,004,2020-10-09,2023-11-08
10000078606,NO,001,2010-05-06,2021-04-02
10000078705,YES,001,2019-02-24,
10000079297,YES,001,2023-09-12,
10000079396,YES,001,2017-10-01,
10000079594,NO,001,2014-08-06,2021-03-01
10000079002,YES,001,2020-02-27,
10000079693,NO,002,2024-04-13,
10000079792,YES,001,2022-11-25,
10000079891,YES,001,2019-02-09,
10000080188,NO,002,2023-03-06,
10000080089,YES,001,2020-05-04,
10000080287,YES,001,2023-03-20,
10000080485,YES,001,2017-05-01,
10000080683,YES,001,2020-02-18,
10000080782,YES,001,2021-02-05,
10000081475,YES,001,2019-10-06,
10000081673,YES,001,2020-06-21,
10000081871,YES,001,2016-08-23,
10000081970,YES,001,2020-09-09,
10000082069,YES,001,2024-02-04,
10000082168,YES,001,2015-12-10,
10000082267,NO,001,2017-12-24,2024-12-18
10000082564,YES,001,2024-06-15,
10000082762,YES,001,2015-11-18,
10000083257,YES,001,2017-06-05,
10000083554,YES,001,2018-07-13,
10000083752,YES,001,2024-01-09,
10000084940,YES,001,2022-04-14,
10000084049,YES,001,2022-04-25,
10000083950,YES,001,2024-01-09,
10000085039,YES,001,2023-02-16,
10000085138,YES,001,2020-07-11,
10000085237,NO,002,2023-10-27,
10000085435,YES,001,2016-09-14,
10000086128,YES,001,2021-04-26,
10000085831,YES,001,2018-03-22,
10000085930,YES,001,2015-06-04,
10000086722,YES,001,2021-09-30,
10000087415,YES,001,2018-01-18,
10000087712,YES,001,2019-03-09,
10000088306,YES,001,2017-08-07,
10000088504,YES,001,2015-05-01,
10000086821,YES,001,2015-12-20,
10000088603,YES,001,2021-06-06,
10000089492,YES,001,2016-06-01,
10000089690,YES,001,2021-11-15,
10000089195,YES,001,2018-01-11,
10000089987,YES,001,2019-03-07,
10000090383,YES,001,2016-05-13,
10000090581,YES,001,2021-04-03,
10000089888,YES,001,2022-11-10,
10000090878,YES,001,2017-03-15,
10000091076,YES,001,2021-01-02,
10000091472,YES,001,2021-11-25,
10000091967,YES,001,2022-04-01,
10000091670,YES,001,2022-04-02,
10000092165,NO,004,2022-07-02,2024-10-13
10000092660,YES,001,2023-08-04,
10000092957,YES,001,2016-04-22,
10000093056,YES,001,2023-06-06,
10000093155,YES,001,2020-06-01,
10000092858,YES,001,2019-12-11,
10000093650,YES,001,2021-10-11,
10000092264,YES,001,2015-10-18,
10000093749,YES,001,2015-05-27,
10000093848,YES,001,2016-12-14,
10000093452,YES,001,2015-04-12,
10000094442,YES,001,2017-10-02,
10000093947,YES,001,2024-06-16,
10000094640,YES,001,2017-07-31,
10000094937,YES,001,2023-05-17,
10000095135,YES,001,2016-11-17,
10000094838,YES,001,2020-07-25,
10000095333,NO,002,2020-07-03,
10000095432,YES,001,2021-07-09,
10000095630,YES,001,2022-09-12,
10000095828,NO,001,2013-01-15,2023-03-11
10000096323,YES,001,2019-11-16,
10000095531,YES,001,2024-10-17,
10000094739,YES,001,2017-03-03,
10000096719,YES,001,2019-06-08,
10000096422,YES,001,2018-10-11,
10000096818,YES,001,2019-12-27,
10000097115,YES,001,2019-07-20,
10000097214,YES,001,2024-05-12,
10000097808,NO,001,2016-04-06,2023-09-16
10000097907,NO,001,2017-01-27,2024-06-01
10000096620,NO,001,2016-12-13,2021-08-12
10000098204,YES,001,2018-01-07,
10000097412,YES,001,2018-03-03,
10000098697,YES,001,2021-12-04,
10000098402,YES,001,2020-06-16,
10000098895,YES,001,2018-04-12,
10000098994,YES,001,2021-11-27,
10000099093,NO,001,2011-12-14,2024-09-05
10000099588,YES,001,2023-02-04,
10000099786,NO,001,2010-01-23,2021-09-27
